The preprocessed data already exists, skip the preprocess stage!
  Test | Time 37 | precision:0.3085 | recall: 0.7250 | f1: 0.4328
  Test | Time 38 | precision:0.3825 | recall: 0.8649 | f1: 0.5304
  Test | Time 39 | precision:0.3632 | recall: 0.8519 | f1: 0.5092
  Test | Time 40 | precision:0.4357 | recall: 0.5446 | f1: 0.4841
  Test | Time 41 | precision:0.3723 | recall: 0.6034 | f1: 0.4605
  Test | Time 42 | precision:0.5978 | recall: 0.6904 | f1: 0.6408
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0175 | recall: 0.1250 | f1: 0.0308
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0227 | recall: 0.5000 | f1: 0.0435
  Test | Time 47 | precision:0.0370 | recall: 0.0455 | f1: 0.0408
  Test | Time 48 | precision:0.3846 | recall: 0.1389 | f1: 0.2041
  Test | Time 49 | precision:0.1154 | recall: 0.0536 | f1: 0.0732
  Test | Epoch 23 | class 1 | precision:0.3138 | recall: 0.5795 | f1: 0.4071
Train Epoch 24 | class 1 | precision:0.8122 | recall: 0.8253 | f1: 0.8187
Eval Epoch 24 | class 1 | precision:0.4707 | recall: 0.8720 | f1: 0.6114
Train Epoch 25 | class 1 | precision:0.8347 | recall: 0.7994 | f1: 0.8167
Eval Epoch 25 | class 1 | precision:0.4844 | recall: 0.8833 | f1: 0.6257
Train Epoch 26 | class 1 | precision:0.8234 | recall: 0.8384 | f1: 0.8308
Eval Epoch 26 | class 1 | precision:0.5325 | recall: 0.8363 | f1: 0.6507
###################Epoch 26 Test###################
  Test | Time 37 | precision:0.4590 | recall: 0.7000 | f1: 0.5545
  Test | Time 38 | precision:0.4413 | recall: 0.8468 | f1: 0.5802
  Test | Time 39 | precision:0.4359 | recall: 0.8395 | f1: 0.5738
  Test | Time 40 | precision:0.4921 | recall: 0.5536 | f1: 0.5210
  Test | Time 41 | precision:0.4631 | recall: 0.5948 | f1: 0.5208
  Test | Time 42 | precision:0.7227 | recall: 0.6653 | f1: 0.6928
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0280 | recall: 0.1250 | f1: 0.0458
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0417 | recall: 0.5000 | f1: 0.0769
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:0.6667 | recall: 0.0556 | f1: 0.1026
  Test | Time 49 | precision:0.1176 | recall: 0.0357 | f1: 0.0548
  Test | Epoch 26 | class 1 | precision:0.4070 | recall: 0.5622 | f1: 0.4722
Train Epoch 27 | class 1 | precision:0.8419 | recall: 0.8122 | f1: 0.8267
Eval Epoch 27 | class 1 | precision:0.5571 | recall: 0.8541 | f1: 0.6743
###################Epoch 27 Test###################
  Test | Time 37 | precision:0.3729 | recall: 0.5500 | f1: 0.4444
